City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
361,la huacana,18.9667,-101.8167,30.97,55,14,1.81,MX,1699738946
362,sos'va,59.1766,61.8558,1.7,90,100,2.68,RU,1699738946
363,jiwani,25.05,61.7417,25.9,55,68,2.25,PK,1699738946
364,wenchang,30.904,118.4887,8.78,91,100,4.19,CN,1699738947
365,dorado,18.4588,-66.2677,28.94,81,75,5.66,PR,1699738948
366,stjordalshalsen,63.4681,10.9262,-0.64,69,0,5.66,NO,1699738948
367,khandyga,62.6667,135.6,-24.47,99,100,1.32,RU,1699738511
368,ruelle-sur-touvre,45.6833,0.2333,11.71,88,100,7.2,FR,1699738949
369,batticaloa,7.7102,81.6924,26.06,86,100,2.66,LK,1699738949
372,tralee,52.2704,-9.7026,8.16,90,100,8.57,IE,1699738603
373,'ain el melh,34.8415,4.1638,13.79,68,1,6.55,DZ,1699738950
374,island harbour,50.724,-1.2758,9.15,90,100,6.02,GB,1699738950
376,mil'kovo,55.6078,37.7956,4.67,85,100,4.68,RU,1699738951
377,yarega,63.4354,53.5765,-1.74,96,100,3.32,RU,1699738951
379,asau,46.4333,26.4,8.51,86,100,3.09,RO,1699738952
380,scinawa,51.4163,16.4251,6.69,86,100,5.03,PL,1699738952
382,sol'-iletsk,51.1631,54.9918,2.3,88,50,4.27,RU,1699738952
384,mokhsogollokh,61.4681,128.9203,-8.76,86,100,4.73,RU,1699738953
385,hernando,28.5419,-82.4582,31.91,56,20,4.63,US,1699738849
386,nguigmi,14.2495,13.1092,28.16,25,99,4.71,NE,1699738953
387,ain leuh,33.2921,-5.3384,12.95,58,6,0.89,MA,1699738953
388,salmon arm,50.6998,-119.3024,12.62,54,100,1.54,CA,1699738954
390,beli,7.8587,10.9719,26.85,66,43,1.68,NG,1699738954
391,solnechnyy,50.7214,136.6319,-15.54,96,56,1.73,RU,1699738954
392,les cayes,18.2,-73.75,27.91,75,0,1.65,HT,1699738954
393,esfarayen,37.0765,57.5101,4.81,65,7,2.34,IR,1699738954
394,sittensen,53.2762,9.5043,7.1,93,100,2.95,DE,1699738955
396,balaklava,44.5,33.6,16.32,61,100,9.71,UA,1699738955
397,gozyeri,40.866,32.5417,13.43,57,100,8.42,TR,1699738955
398,marsh harbour,26.5412,-77.0636,26.69,73,17,5.4,BS,1699738827
401,ushtobe,45.2514,77.9838,8.41,58,100,2.2,KZ,1699738956
402,ulaangom,49.9811,92.0667,-8.84,93,100,1.65,MN,1699738891
403,manchester,53.4809,-2.2374,6.25,88,17,2.06,GB,1699738845
404,gubkinskiy,64.434,76.5026,0.23,96,100,7.7,RU,1699738956
405,hotan,37.0997,79.9269,4.18,36,13,1.6,CN,1699738956
406,tabas,33.5959,56.9244,17.15,33,2,0.59,IR,1699738957
407,nogliki,51.8333,143.1667,-10.37,80,87,6.71,RU,1699738957
408,slatina,44.4333,24.3667,8.02,78,22,11.94,RO,1699738957
410,kingston,17.997,-76.7936,30.13,77,36,1.34,JM,1699738348
411,newport,51.5877,-2.9984,8.3,90,100,4.83,GB,1699738707
412,shingu,33.7333,135.9833,13.37,73,100,1.68,JP,1699738788
414,chinde,26.8418,88.0763,12.03,70,0,2.21,NP,1699738958
415,road town,18.4167,-64.6167,29.05,74,40,5.14,VG,1699738958
416,isola della scala,45.2722,11.009,7.39,87,30,1.03,IT,1699738959
418,prince rupert,54.3161,-130.3201,8.05,73,75,7.72,CA,1699738959
419,elliot lake,46.3834,-82.6331,-0.15,78,99,1.11,CA,1699738959
421,rodolfo sanchez taboada,31.7167,-116.5667,21.17,58,0,0.89,MX,1699738960
423,horta,38.5333,-28.6333,19.8,95,75,7.6,PT,1699738960
424,toyooka,35.5333,134.8333,10.83,90,100,2.27,JP,1699738960
425,torquay,50.4638,-3.5143,11.31,83,100,7.6,GB,1699738960
426,huilong,31.8111,121.655,10.72,89,100,8.43,CN,1699738759
427,bela,25.9333,81.9833,20.34,65,0,2.44,IN,1699738961
429,burao,9.5221,45.5336,22.41,69,99,3.22,SO,1699738680
432,bardai,11.65,7.2333,23.58,24,32,2.4,NG,1699738446
